cnum,x,y
1418,5723,5233
1419,5722,5233
1420,5722,5234
1421,5721,5234
1422,5721,5233
1423,5720,5233
1424,5720,5231
1425,5719,5231
1426,5719,5232
1427,5718,5232
1428,5718,5234
1429,5717,5234
1430,5717,5232
1431,5716,5232
1432,5716,5233
1433,5713,5233
1434,5713,5234
1435,5709,5234
1436,5709,5235
1437,5706,5235
1438,5706,5236
1439,5704,5236
1440,5704,5237
1441,5703,5237
1442,5703,5236
1443,5702,5236
1444,5702,5237
1445,5699,5237
1446,5699,5238
1447,5697,5238
1448,5697,5239
1449,5695,5239
1450,5695,5240
1451,5693,5240
1452,5693,5241
1453,5692,5241
1454,5692,5240
1455,5690,5240
1456,5690,5241
1457,5687,5241
1458,5687,5242
1459,5685,5242
1460,5685,5241
1461,5684,5241
1462,5684,5243
1463,5683,5243
1464,5683,5242
1465,5682,5242
1466,5682,5243
1467,5681,5243
1468,5681,5242
1469,5680,5242
1470,5680,5243
1471,5678,5243
1472,5678,5244
1473,5677,5244
1474,5677,5243
1475,5678,5243
1476,5678,5242
1477,5676,5242
1478,5676,5244
1479,5675,5244
1480,5675,5243
1481,5674,5243
1482,5674,5244
1483,5673,5244
1484,5673,5243
1485,5672,5243
1486,5672,5244
1487,5671,5244
1488,5671,5243
1489,5669,5243
1490,5669,5244
1491,5661,5244
1492,5661,5245
1493,5660,5245
1494,5660,5246
1495,5659,5246
1496,5659,5244
1497,5657,5244
1498,5657,5245
1499,5656,5245
1500,5656,5244
1501,5654,5244
1502,5654,5245
1503,5652,5245
1504,5652,5244
1505,5650,5244
1506,5650,5246
1507,5649,5246
1508,5649,5245
1509,5646,5245
1510,5646,5246
1511,5645,5246
1512,5645,5245
1513,5644,5245
1514,5644,5246
1515,5643,5246
1516,5643,5245
1517,5642,5245
1518,5642,5246
1519,5641,5246
1520,5641,5245
1521,5640,5245
1522,5640,5246
1523,5639,5246
1524,5639,5245
1525,5638,5245
1526,5638,5246
1527,5637,5246
1528,5637,5245
1529,5636,5245
1530,5636,5246
1531,5632,5246
1532,5632,5245
1533,5631,5245
1534,5631,5247
1535,5630,5247
1536,5630,5246
1537,5629,5246
1538,5629,5245
1539,5628,5245
1540,5628,5247
1541,5626,5247
1542,5626,5248
1543,5625,5248
1544,5625,5249
1545,5624,5249
1546,5624,5247
1547,5623,5247
1548,5623,5246
1549,5622,5246
1550,5622,5247
1551,5621,5247
1552,5621,5248
1553,5620,5248
1554,5620,5247
1555,5614,5247
1556,5614,5249
1557,5615,5249
1558,5615,5250
1559,5614,5250
1560,5614,5249
1561,5608,5249
1562,5608,5250
1563,5607,5250
1564,5607,5249
1565,5605,5249
1566,5605,5250
1567,5604,5250
1568,5604,5252
1569,5603,5252
1570,5603,5251
1571,5602,5251
1572,5602,5250
1573,5601,5250
1574,5601,5251
1575,5600,5251
1576,5600,5252
1577,5599,5252
1578,5599,5253
1579,5598,5253
1580,5598,5252
1581,5597,5252
1582,5597,5253
1583,5595,5253
1584,5595,5254
1585,5593,5254
1586,5593,5255
1587,5592,5255
1588,5592,5254
1589,5591,5254
1590,5591,5257
1591,5590,5257
1592,5590,5256
1593,5589,5256
1594,5589,5257
1595,5588,5257
1596,5588,5256
1597,5585,5256
1598,5585,5257
1599,5587,5257
1600,5587,5258
1601,5585,5258
1602,5585,5257
1603,5584,5257
1604,5584,5258
1605,5583,5258
1606,5583,5259
1607,5581,5259
1608,5581,5261
1609,5580,5261
1610,5580,5260
1611,5579,5260
1612,5579,5262
1613,5578,5262
1614,5578,5261
1615,5577,5261
1616,5577,5262
1617,5575,5262
1618,5575,5263
1619,5571,5263
1620,5571,5264
1621,5570,5264
1622,5570,5265
1623,5569,5265
1624,5569,5264
1625,5567,5264
1626,5567,5265
1627,5565,5265
1628,5565,5264
1629,5564,5264
1630,5564,5266
1631,5562,5266
1632,5562,5265
